batter,total_runs,balls_faced,fours,sixes,innings_played,strike_rate
V Kohli,9336,6907,844,316,275,135.17
RG Sharma,7329,5493,661,323,275,133.42
S Dhawan,6769,5302,768,152,221,127.67
DA Warner,6565,4675,663,236,184,140.43
KL Rahul,5815,4166,508,239,149,139.58
SK Raina,5528,4022,506,203,200,137.44
MS Dhoni,5439,3935,375,264,241,138.22
AM Rahane,5367,4269,539,141,197,125.72
SV Samson,5181,3653,432,243,185,141.83
AB de Villiers,5162,3392,413,251,170,152.18
CH Gayle,4965,3318,404,357,141,149.64
RV Uthappa,4952,3782,481,182,197,130.94
KD Karthik,4842,3567,466,161,233,135.74
F du Plessis,4773,3506,439,174,147,136.14
JC Buttler,4646,3092,458,211,136,150.26
Shubman Gill,4598,3223,446,152,130,142.66
SA Yadav,4581,3071,482,178,164,149.17
AT Rayudu,4348,3391,359,173,185,128.22
SS Iyer,4229,3083,353,182,144,137.17
G Gambhir,4217,3394,492,59,151,124.25
MK Pandey,4012,3284,348,117,163,122.17
SR Watson,3874,2797,376,190,141,138.51
RR Pant,3865,2623,349,181,136,147.35
Ishan Kishan,3600,2499,348,166,127,144.06
RA Jadeja,3526,2685,264,122,205,131.32
Q de Kock,3441,2543,334,143,118,135.31
KA Pollard,3412,2302,218,223,168,148.22
DA Miller,3288,2348,235,152,143,140.03
YK Pathan,3204,2229,262,158,153,143.74
N Rana,3078,2228,288,151,121,138.15
HH Pandya,2955,2010,228,155,150,147.01
WP Saha,2934,2296,296,87,143,127.79
BB McCullum,2880,2172,293,130,109,132.6
PA Patel,2848,2350,365,49,136,121.19
RD Gaikwad,2839,2083,260,107,84,136.29
GJ Maxwell,2819,1809,237,161,134,155.83
MA Agarwal,2756,2051,273,100,125,134.37
Yuvraj Singh,2750,2113,217,149,126,130.15
V Sehwag,2728,1740,334,106,104,156.78
AD Russell,2651,1505,186,223,114,176.15
M Vijay,2619,2147,247,91,105,121.98
YBK Jaiswal,2593,1692,310,110,82,153.25
N Pooran,2527,1535,168,186,100,164.63
B Sai Sudharsan,2515,1674,258,82,57,150.24
SPD Smith,2485,1927,225,60,93,128.96
SE Marsh,2477,1862,266,78,69,133.03
JH Kallis,2427,2213,255,44,95,109.67
DR Smith,2385,1755,245,117,88,135.9
Abhishek Sharma,2379,1383,224,144,89,172.02
SR Tendulkar,2334,1941,295,29,78,120.25
RA Tripathi,2291,1655,229,85,98,138.43
D Padikkal,2270,1700,239,80,89,133.53
MP Stoinis,2242,1511,181,117,108,148.38
R Dravid,2174,1878,268,28,82,115.76
S Dube,2129,1460,132,137,87,145.82
KS Williamson,2128,1689,185,64,76,125.99
H Klaasen,2104,1253,146,120,60,167.92
AJ Finch,2091,1623,214,78,90,128.84
AR Patel,2089,1556,146,100,134,134.25
AC Gilchrist,2069,1483,239,92,80,139.51
JP Duminy,2029,1631,126,79,75,124.4
KH Pandya,1982,1476,173,76,123,134.28
MEK Hussey,1977,1610,198,52,58,122.8
PP Shaw,1892,1279,238,61,79,147.93
R Parag,1875,1295,135,108,86,144.79
P Simran Singh,1865,1184,196,94,65,157.52
Tilak Varma,1858,1278,143,91,65,145.38
MR Marsh,1855,1245,155,111,62,149.0
SP Narine,1820,1099,191,120,122,165.61
DPMD Jayawardene,1802,1460,200,39,78,123.42
KK Nair,1712,1301,188,49,78,131.59
Mandeep Singh,1706,1385,176,38,97,123.18
MK Tiwary,1695,1444,156,40,83,117.38
KC Sangakkara,1687,1385,195,27,68,121.81
VR Iyer,1677,1180,157,78,62,142.12
JM Bairstow,1674,1142,173,74,52,146.58
AK Markram,1671,1227,131,68,66,136.19
RM Patidar,1612,978,106,110,52,164.83
DJ Bravo,1560,1196,120,66,110,130.43
SO Hetmyer,1560,1040,98,96,85,150.0
TM Head,1556,907,172,78,52,171.55
NV Ojha,1554,1308,121,79,94,118.81
DJ Hooda,1496,1166,98,62,101,128.3
SS Tiwary,1494,1235,111,50,73,120.97
S Badrinath,1441,1208,154,28,65,119.29
EJG Morgan,1405,1145,112,64,74,122.71
BJ Hodge,1400,1112,122,43,63,125.9
RK Singh,1394,947,114,67,62,147.2
SC Ganguly,1349,1257,137,42,56,107.32
CA Lynn,1329,941,132,66,42,141.23
DJ Hussey,1322,1070,90,60,61,123.55
R Tewatia,1302,938,110,62,91,138.81
PD Salt,1258,715,138,67,40,175.94
V Shankar,1233,947,88,48,63,130.2
KM Jadhav,1208,969,102,40,81,124.66
Dhruv Jurel,1195,775,98,62,51,154.19
A Badoni,1178,834,96,47,56,141.25
MM Ali,1167,831,95,67,59,140.43
TM Dilshan,1153,1001,140,24,50,115.18
TH David,1151,642,76,83,59,179.28
IK Pathan,1139,943,87,37,82,120.78
ML Hayden,1107,798,121,44,32,138.72
JM Sharma,1107,723,86,68,59,153.11
M Vohra,1083,828,104,43,51,130.8
DP Conway,1080,770,116,34,28,140.26
LMP Simmons,1079,848,109,44,29,127.24
LS Livingstone,1066,680,70,76,49,156.76
C Green,1029,677,84,49,42,151.99
V Suryavanshi,1028,447,81,96,23,229.98
LRPL Taylor,1017,818,66,46,54,124.33
KP Pietersen,1001,742,91,40,36,134.91
MC Henriques,1000,785,87,28,54,127.39
SM Curran,997,725,85,41,53,137.52
Y Venugopal Rao,985,832,77,37,52,118.39
T Stubbs,980,646,69,46,43,151.7
