season_year,batter,runs,balls,fours,sixes,strike_rate
2008,A Chopra,42,52,5,0,80.77
2008,A Kumble,13,17,1,0,76.47
2008,A Mishra,37,42,3,0,88.1
2008,A Mukund,0,1,0,0,0.0
2008,A Nehra,3,12,0,0,25.0
2008,A Symonds,161,104,15,9,154.81
2008,AA Noffke,9,10,1,0,90.0
2008,AB Agarkar,54,45,5,2,120.0
2008,AB Dinda,2,4,0,0,50.0
2008,AB de Villiers,95,98,5,1,96.94
2008,AC Gilchrist,436,314,51,19,138.85
2008,AD Mascarenhas,9,8,0,1,112.5
2008,AM Nayar,206,137,16,9,150.36
2008,AM Rahane,4,17,1,0,23.53
2008,AS Yadav,49,39,5,2,125.64
2008,Abdur Razzak,0,2,0,0,0.0
2008,B Akhil,46,31,4,3,148.39
2008,B Chipli,20,28,3,0,71.43
2008,B Lee,17,12,2,1,141.67
2008,BB McCullum,188,91,13,15,206.59
2008,BJ Hodge,12,17,2,0,70.59
2008,CK Kapugedera,16,22,0,0,72.73
2008,CL White,114,100,8,4,114.0
2008,CRD Fernando,2,1,0,0,200.0
2008,D Kalyankrishna,3,8,0,0,37.5
2008,D Salunkhe,33,24,5,0,137.5
2008,DB Das,103,94,9,5,109.57
2008,DB Ravi Teja,109,81,10,5,134.57
2008,DJ Bravo,178,131,19,5,135.88
2008,DJ Hussey,319,258,19,17,123.64
2008,DJ Thornely,39,53,2,2,73.58
2008,DNT Zoysa,11,9,1,0,122.22
2008,DP Vijaykumar,1,1,0,0,100.0
2008,DPMD Jayawardene,179,131,15,7,136.64
2008,DR Smith,45,40,5,1,112.5
2008,DS Kulkarni,2,16,0,0,12.5
2008,DS Lehmann,18,18,3,0,100.0
2008,DT Patil,13,13,1,0,100.0
2008,DW Steyn,2,5,0,0,40.0
2008,G Gambhir,534,378,68,8,141.27
2008,GC Smith,441,361,54,8,122.16
2008,GD McGrath,4,5,1,0,80.0
2008,H Das,2,5,0,0,40.0
2008,HH Gibbs,167,153,17,8,109.15
2008,Harbhajan Singh,30,17,1,3,176.47
2008,I Sharma,11,11,1,0,100.0
2008,IK Pathan,131,115,9,6,113.91
2008,Iqbal Abdulla,1,2,0,0,50.0
2008,J Arunkumar,23,23,5,0,100.0
2008,JA Morkel,241,162,18,14,148.77
2008,JDP Oram,18,12,1,1,150.0
2008,JH Kallis,199,183,23,4,108.74
2008,JR Hopes,221,148,27,8,149.32
2008,Joginder Sharma,16,11,1,1,145.45
2008,K Goel,76,78,7,4,97.44
2008,KC Sangakkara,320,197,41,8,162.44
2008,KD Karthik,145,107,13,4,135.51
2008,Kamran Akmal,128,77,13,8,166.23
2008,L Balaji,0,4,0,0,0.0
2008,L Ronchi,34,32,6,1,106.25
2008,LA Pomersbach,152,99,13,9,153.54
2008,LPC Silva,40,26,5,1,153.85
2008,LR Shukla,163,122,17,4,133.61
2008,LRPL Taylor,149,81,13,10,183.95
2008,M Kaif,176,170,14,6,103.53
2008,M Kartik,30,27,3,0,111.11
2008,M Muralitharan,0,3,0,0,0.0
2008,M Ntini,11,18,2,0,61.11
2008,M Rawat,34,39,3,1,87.18
2008,MA Khote,24,22,2,1,109.09
2008,MEK Hussey,168,100,12,11,168.0
2008,MF Maharoof,125,79,10,7,158.23
2008,MK Pandey,3,9,0,0,33.33
2008,MK Tiwary,104,85,16,0,122.35
2008,ML Hayden,189,127,24,6,148.82
2008,MM Patel,0,1,0,0,0.0
2008,MS Dhoni,414,310,38,15,133.55
2008,MS Gony,35,22,2,3,159.09
2008,MV Boucher,225,177,24,6,127.12
2008,Misbah-ul-Haq,117,81,10,6,144.44
2008,Mohammad Asif,3,6,0,0,50.0
2008,Mohammad Hafeez,64,83,7,2,77.11
2008,NK Patel,103,81,13,1,127.16
2008,P Kumar,112,98,10,6,114.29
2008,PA Patel,302,295,42,3,102.37
2008,PJ Sangwan,2,5,0,0,40.0
2008,PM Sarvesh Kumar,1,2,0,0,50.0
2008,PP Chawla,90,58,10,3,155.17
2008,PP Ojha,2,4,0,0,50.0
2008,PR Shah,34,34,4,0,100.0
2008,Pankaj Singh,5,8,0,0,62.5
2008,R Bhatia,34,28,2,2,121.43
2008,R Dravid,371,297,35,11,124.92
2008,R Vinay Kumar,25,22,2,1,113.64
2008,RA Jadeja,135,100,11,6,135.0
2008,RG Sharma,404,270,38,19,149.63
2008,RP Singh,27,24,2,1,112.5
2008,RR Powar,28,21,4,1,133.33
2008,RR Raje,8,9,1,0,88.89
2008,RR Sarwan,73,75,6,1,97.33
2008,RT Ponting,39,53,2,1,73.58
2008,RV Uthappa,320,274,34,9,116.79
2008,S Anirudha,1,7,0,0,14.29
2008,S Badrinath,192,130,21,8,147.69
2008,S Chanderpaul,25,31,4,0,80.65
2008,S Dhawan,340,295,35,8,115.25
2008,S Sohal,4,8,0,0,50.0
2008,S Sreesanth,0,3,0,0,0.0
2008,S Vidyut,145,109,21,3,133.03
2008,SA Asnodkar,311,231,43,6,134.63
2008,SB Bangar,47,49,1,3,95.92
2008,SB Joshi,6,14,0,0,42.86
2008,SB Styris,112,122,9,2,91.8
2008,SC Ganguly,349,305,33,15,114.43
2008,SD Chitnis,18,9,1,1,200.0
2008,SE Marsh,616,440,59,26,140.0
2008,SK Raina,421,294,35,18,143.2
2008,SK Trivedi,5,12,0,0,41.67
2008,SK Warne,70,58,7,2,120.69
2008,SM Katich,96,68,11,2,141.18
2008,SM Pollock,147,111,12,8,132.43
2008,SP Fleming,196,162,27,3,120.99
2008,SP Goswami,82,85,9,1,96.47
2008,SR Tendulkar,188,177,26,2,106.21
2008,SR Watson,472,307,47,19,153.75
2008,SS Tiwary,26,20,3,1,130.0
2008,ST Jayasuriya,514,308,57,31,166.88
2008,Salman Butt,193,160,30,2,120.62
2008,Shahid Afridi,81,46,7,6,176.09
2008,Shoaib Akhtar,2,7,0,0,28.57
2008,Shoaib Malik,52,46,5,0,113.04
2008,Sohail Tanvir,36,28,3,1,128.57
2008,T Kohli,10,15,0,1,66.67
2008,T Taibu,31,26,3,0,119.23
2008,TM Dilshan,104,78,14,3,133.33
2008,TM Srivastava,8,10,0,0,80.0
2008,U Kaul,0,1,0,0,0.0
2008,Umar Gul,39,19,1,5,205.26
2008,V Kohli,165,157,18,4,105.1
2008,V Sehwag,406,216,46,21,187.96
2008,VRV Singh,4,3,1,0,133.33
2008,VS Yeligati,2,2,0,0,100.0
2008,VVS Laxman,155,132,22,1,117.42
2008,VY Mahesh,15,27,0,0,55.56
2008,W Jaffer,115,104,12,3,110.58
2008,WA Mota,26,27,2,0,96.3
2008,WP Saha,159,119,12,7,133.61
2008,WPUJC Vaas,21,17,0,1,123.53
