bowler,wickets,balls_bowled,runs_conceded,matches,economy,avg
B Kumar,243,4600,5913,206,7.71,24.33
YS Chahal,242,4037,5417,184,8.05,22.38
SP Narine,227,4651,5261,200,6.79,23.18
DJ Bravo,207,3120,4360,158,8.38,21.06
R Ashwin,205,4710,5652,217,7.2,27.57
JJ Bumrah,204,3631,4441,158,7.34,21.77
PP Chawla,201,3850,5108,191,7.96,25.41
RA Jadeja,189,4254,5465,237,7.71,28.92
SL Malinga,188,2827,3366,122,7.14,17.9
Rashid Khan,187,3530,4282,153,7.28,22.9
A Mishra,183,3371,4145,162,7.38,22.65
Sandeep Sharma,169,3159,4294,142,8.16,25.41
HV Patel,168,2506,3727,121,8.92,22.18
UT Yadav,163,3050,4317,147,8.49,26.48
Harbhajan Singh,161,3416,4030,160,7.08,25.03
Mohammed Shami,161,2912,4208,132,8.67,26.14
K Rabada,154,2290,3358,101,8.8,21.81
TA Boult,153,2780,3935,124,8.49,25.72
MM Sharma,149,2403,3513,119,8.77,23.58
AR Patel,148,3579,4431,173,7.43,29.94
AD Russell,133,1806,2863,121,9.51,21.53
Mohammed Siraj,132,2672,3911,125,8.78,29.63
R Vinay Kumar,127,2121,2966,104,8.39,23.35
SN Thakur,127,2202,3514,109,9.57,27.67
JD Unadkat,125,2351,3504,115,8.94,28.03
A Nehra,121,1908,2495,88,7.85,20.62
Arshdeep Singh,120,2032,3111,95,9.19,25.92
Z Khan,119,2200,2782,99,7.59,23.38
Kuldeep Yadav,116,2286,3159,107,8.29,27.23
CV Varun,114,2134,2745,94,7.72,24.08
KH Pandya,111,2701,3410,147,7.57,30.72
SR Watson,107,2029,2682,105,7.93,25.07
CH Morris,105,1720,2295,81,8.01,21.86
DW Steyn,105,2176,2508,95,6.92,23.89
P Kumar,102,2524,3251,119,7.73,31.87
Avesh Khan,100,1767,2734,82,9.28,27.34
RP Singh,100,1775,2338,82,7.9,23.38
I Sharma,100,2419,3377,117,8.38,33.77
PP Ojha,99,1899,2332,90,7.37,23.56
DL Chahar,99,2068,2862,103,8.3,28.91
IK Pathan,99,2043,2649,101,7.78,26.76
M Prasidh Krishna,97,1733,2598,78,8.99,26.78
KK Ahmed,96,1657,2474,76,8.96,25.77
JA Morkel,96,1723,2359,87,8.21,24.57
DS Kulkarni,91,1787,2474,92,8.31,27.19
PJ Cummins,90,1809,2680,80,8.89,29.78
JC Archer,90,1578,2161,68,8.22,24.01
MA Starc,89,1191,1750,56,8.82,19.66
KV Sharma,89,1585,2215,87,8.38,24.89
Ravi Bishnoi,89,1789,2494,85,8.36,28.02
HH Pandya,88,1764,2751,116,9.36,31.26
M Morkel,88,1629,2089,70,7.69,23.74
Imran Tahir,86,1316,1703,59,7.76,19.8
L Balaji,85,1512,2028,73,8.05,23.86
T Natarajan,83,1553,2378,73,9.19,28.65
AB Dinda,82,1516,2073,75,8.2,25.28
MM Patel,82,1355,1698,63,7.52,20.71
R Bhatia,82,1636,2020,91,7.41,24.63
KA Pollard,81,1488,2180,107,8.79,26.91
JO Holder,76,1225,1751,57,8.58,23.04
RD Chahar,76,1694,2196,79,7.78,28.89
MJ McClenaghan,75,1274,1803,56,8.49,24.04
Mustafizur Rahman,74,1364,1849,60,8.13,24.99
JH Kallis,74,1742,2293,89,7.9,30.99
JR Hazlewood,73,1176,1690,52,8.62,23.15
SK Trivedi,73,1506,1904,75,7.59,26.08
JP Faulkner,72,1227,1778,60,8.69,24.69
Shakib Al Hasan,71,1484,1839,70,7.44,25.9
M Muralitharan,66,1524,1696,66,6.68,25.7
MG Johnson,64,1232,1702,54,8.29,26.59
A Nortje,63,1120,1696,49,9.09,26.92
S Kaul,63,1209,1739,55,8.63,27.6
SM Curran,63,1253,2033,63,9.74,32.27
LH Ferguson,62,1089,1671,52,9.21,26.95
Noor Ahmad,62,1098,1495,51,8.17,24.11
TU Deshpande,60,1103,1858,53,10.11,30.97
SK Warne,60,1194,1447,54,7.27,24.12
TG Southee,57,1206,1742,54,8.67,30.56
S Nadeem,54,1415,1784,70,7.56,33.04
S Gopal,53,991,1349,51,8.17,25.45
M Pathirana,53,710,1025,33,8.66,19.34
NM Coulter-Nile,52,857,1100,38,7.7,21.15
Mukesh Kumar,52,824,1455,42,10.59,27.98
VG Arora,51,866,1406,42,9.74,27.57
SB Jakati,50,1085,1451,57,8.02,29.02
A Kumble,49,965,1058,42,6.58,21.59
AJ Tye,48,684,979,30,8.59,20.4
MP Stoinis,48,935,1547,75,9.93,32.23
S Aravind,48,760,1039,38,8.2,21.65
RJ Harris,47,832,1047,37,7.55,22.28
PWH de Silva,47,798,1119,37,8.41,23.81
M Jansen,47,1017,1632,47,9.63,34.72
YK Pathan,46,1147,1415,82,7.4,30.76
L Ngidi,46,620,869,27,8.41,18.89
VR Aaron,46,994,1481,50,8.94,32.2
MM Ali,46,854,1029,57,7.23,22.37
MC Henriques,46,950,1289,60,8.14,28.02
Yash Dayal,45,871,1390,43,9.58,30.89
Iqbal Abdulla,45,920,1109,48,7.23,24.64
GJ Maxwell,45,1022,1413,85,8.3,31.4
PJ Sangwan,44,856,1240,42,8.69,28.18
S Sreesanth,43,880,1194,44,8.14,27.77
P Awana,43,747,1029,33,8.27,23.93
DE Bollinger,43,576,693,27,7.22,16.12
Harshit Rana,42,649,1029,32,9.51,24.5
R Sharma,42,928,1086,44,7.02,25.86
Washington Sundar,42,1174,1520,68,7.77,36.19
WD Parnell,40,723,937,33,7.78,23.42
DT Christian,40,883,1192,49,8.1,29.8
MS Gony,39,888,1287,44,8.7,33.0
M Kartik,39,1149,1388,55,7.25,35.59
Yuvraj Singh,39,869,1077,73,7.44,27.62
P Negi,38,716,939,42,7.87,24.71
Mohsin Khan,38,654,917,30,8.41,24.13
DP Nannes,38,646,785,29,7.29,20.66
NLTC Perera,37,698,1016,36,8.73,27.46
Harpreet Brar,37,859,1145,48,8.0,30.95
MR Marsh,37,560,795,34,8.52,21.49
M Markande,37,750,1145,40,9.16,30.95
M Theekshana,36,876,1207,38,8.27,33.53
KK Cooper,36,576,757,25,7.89,21.03
R Tewatia,36,843,1111,52,7.91,30.86
M Ashwin,35,870,1162,44,8.01,33.2
Kartik Tyagi,35,728,1211,33,9.98,34.6
CJ Jordan,35,668,1070,34,9.61,30.57
E Malinga,35,486,745,22,9.2,21.29
DL Vettori,34,777,879,34,6.79,25.85
A Kamboj,34,491,816,25,9.97,24.0
AB Agarkar,33,782,1151,42,8.83,34.88
R Sai Kishore,33,465,697,27,8.99,21.12
Shivam Mavi,33,649,942,32,8.71,28.55
MF Maharoof,33,420,520,20,7.43,15.76
A Zampa,32,467,652,22,8.38,20.38
Vijaykumar Vyshak,31,519,906,25,10.47,29.23
MJ Santner,31,687,860,35,7.51,27.74
CR Woakes,31,440,658,21,8.97,21.23
Azhar Mahmood,31,537,700,23,7.82,22.58
BA Stokes,31,689,992,38,8.64,32.0
Umran Malik,31,493,772,26,9.4,24.9
Harmeet Singh,31,549,731,28,7.99,23.58
A Singh,31,473,620,23,7.86,20.0
Yash Thakur,30,467,825,22,10.6,27.5
Rasikh Salam,30,488,814,25,10.01,27.13
SK Raina,30,908,1118,69,7.39,37.27
B Lee,30,875,1095,38,7.51,36.5
Suyash Sharma,29,803,1190,39,8.89,41.03
AD Mathews,28,791,1079,44,8.18,38.54
PV Tambe,28,660,853,33,7.75,30.46
STR Binny,28,594,758,63,7.66,27.07
R Dhawan,27,662,891,36,8.08,33.0
DR Smith,27,539,810,46,9.02,30.0
J Botha,27,694,800,34,6.92,29.63
C Green,27,571,898,39,9.44,33.26
Shahbaz Ahmed,27,655,1069,50,9.79,39.59
SW Tait,26,473,640,21,8.12,24.62
Mukesh Choudhary,26,483,771,24,9.58,29.65
Naveen-ul-Haq,26,387,591,17,9.16,22.73
Akash Madhwal,26,352,590,17,10.06,22.69
Basil Thampi,26,521,846,25,9.74,32.54
GB Hogg,25,458,570,21,7.47,22.8
RE van der Merwe,25,443,498,21,6.74,19.92
Prince Yadav,25,449,684,20,9.14,27.36
Navdeep Saini,25,664,977,32,8.83,39.08
AS Rajpoot,24,529,814,29,9.23,33.92
Sohail Tanvir,24,247,266,11,6.46,11.08
BW Hilfenhaus,23,372,479,17,7.73,20.83
JP Duminy,23,678,834,49,7.38,36.26
A Symonds,23,527,674,30,7.67,29.3
K Gowtham,22,588,808,35,8.24,36.73
JP Behrendorff,22,366,552,17,9.05,25.09
WPUJC Vaas,22,282,355,13,7.55,16.14
VY Mahesh,22,339,499,17,8.83,22.68
AS Joseph,22,434,691,22,9.55,31.41
Bipul Sharma,22,426,572,28,8.06,26.0
N Burger,21,363,585,18,9.67,27.86
Anureet Singh,21,412,623,22,9.07,29.67
Mujeeb Ur Rahman,21,446,620,20,8.34,29.52
KW Richardson,21,335,472,15,8.45,22.48
RP Meredith,21,388,612,18,9.46,29.14
BB Sran,20,483,757,24,9.4,37.85
J Suchith,20,420,602,21,8.6,30.1
NT Ellis,20,378,546,17,8.67,27.3
C Sakariya,20,444,638,20,8.62,31.9
Arshad Khan,20,364,669,24,11.03,33.45
A Ashish Reddy,19,262,396,20,9.07,20.84
DS Rathi,19,546,826,23,9.08,43.47
CH Gayle,19,554,729,38,7.9,38.37
CRD Fernando,19,234,298,10,7.64,15.68
AD Mascarenhas,19,308,356,13,6.94,18.74
R Shepherd,19,360,706,28,11.77,37.16
IC Pandey,19,462,591,24,7.68,31.11
BJ Hodge,18,234,303,20,7.77,16.83
Nithish Kumar Reddy,17,325,577,26,10.65,33.94
Ashwani Kumar,17,183,334,10,10.95,19.65
D Wiese,17,296,440,15,8.92,25.88
AS Roy,17,323,479,22,8.9,28.18
LR Shukla,17,314,447,27,8.54,26.29
ST Jayasuriya,16,294,390,21,7.96,24.38
Sakib Hussain,16,252,397,11,9.45,24.81
KA Jamieson,16,300,506,15,10.12,31.62
AC Thomas,16,315,406,15,7.73,25.38
VRV Singh,16,360,542,18,9.03,33.88
CR Brathwaite,16,254,379,16,8.95,23.69
RG Sharma,16,339,453,32,8.02,28.31
G Coetzee,15,273,472,14,10.37,31.47
AM Ghazanfar,15,233,389,11,10.02,25.93
AN Ahmed,15,344,498,17,8.69,33.2
Mohammad Nabi,15,417,517,23,7.44,34.47
SJ Srivastava,15,282,441,14,9.38,29.4
PVD Chameera,15,396,648,20,9.82,43.2
DR Sams,15,360,523,16,8.72,34.87
YA Abdulla,15,209,307,11,8.81,20.47
Azmatullah Omarzai,15,354,568,18,9.63,37.87
RR Powar,15,426,527,26,7.42,35.13
R Rampaul,15,262,298,12,6.82,19.87
AB McDonald,14,186,261,10,8.42,18.64
KR Sen,14,241,387,12,9.63,27.64
Karanveer Singh,14,204,321,9,9.44,22.93
R McLaren,14,354,542,18,9.19,38.71
S Lamichhane,14,210,292,9,8.34,20.86
PP Hinge,14,156,305,7,11.73,21.79
C Bosch,14,163,250,8,9.2,17.86
Brijesh Sharma,14,273,450,13,9.89,32.14
GD McGrath,14,324,357,14,6.61,25.5
CJ Anderson,14,297,518,22,10.46,37.0
JR Hopes,14,360,548,20,9.13,39.14
J Overton,14,204,332,13,9.76,23.71
DJG Sammy,14,236,350,19,8.9,25.0
Umar Gul,14,135,184,6,8.18,13.14
V Nigam,14,288,469,18,9.77,33.5
Kamran Khan,13,160,224,9,8.4,17.23
RS Bopara,13,206,292,14,8.5,22.46
SM Pollock,13,276,301,13,6.54,23.15
LS Livingstone,13,312,469,27,9.02,36.08
BA Bhatt,13,296,397,15,8.05,30.54
Harsh Dubey,13,192,326,11,10.19,25.08
J Little,13,228,339,11,8.92,26.08
CK Langeveldt,13,156,187,7,7.19,14.38
Joginder Sharma,13,256,419,15,9.82,32.23
JDP Oram,13,237,349,14,8.84,26.85
TK Curran,13,238,430,13,10.84,33.08
Akash Singh,13,247,406,12,9.86,31.23
SC Ganguly,12,276,363,20,7.89,30.25
AG Murtaza,12,264,313,12,7.11,26.08
V Pratap Singh,12,204,296,9,8.71,24.67
Simarjeet Singh,12,240,400,14,10.0,33.33
Ankit Sharma,12,367,450,21,7.36,37.5
K Kartikeya,12,282,407,16,8.66,33.92
BCJ Cutting,12,281,429,17,9.16,35.75
V Shankar,12,238,344,22,8.67,28.67
Akash Deep,11,278,548,14,11.83,49.82
Abhishek Sharma,11,365,550,36,9.04,50.0
TS Mills,11,209,343,10,9.85,31.18
Shivang Kumar,11,234,375,13,9.62,34.09
KP Appanna,11,216,286,13,7.94,26.0
MA Wood,11,120,179,5,8.95,16.27
JL Pattinson,11,213,320,10,9.01,29.09
