season_year,bowler,wickets,balls_bowled,runs_conceded,economy
2008,A Kumble,8,230,304,7.93
2008,A Mishra,11,119,138,6.96
2008,A Nehra,14,269,348,7.76
2008,A Nel,1,18,31,10.33
2008,A Symonds,0,41,101,14.78
2008,AA Noffke,1,24,40,10.0
2008,AB Agarkar,8,156,207,7.96
2008,AB Dinda,11,234,260,6.67
2008,AD Mascarenhas,2,24,29,7.25
2008,AM Nayar,1,42,68,9.71
2008,Abdur Razzak,0,12,29,14.5
2008,B Akhil,3,104,134,7.73
2008,B Geeves,2,48,91,11.38
2008,B Lee,5,96,112,7.0
2008,BAW Mendis,1,24,24,6.0
2008,CK Kapugedera,0,17,49,17.29
2008,CL White,0,6,24,24.0
2008,CRD Fernando,12,120,160,8.0
2008,D Kalyankrishna,2,48,87,10.88
2008,D Salunkhe,1,47,78,9.96
2008,DB Ravi Teja,1,12,19,9.5
2008,DJ Bravo,11,171,232,8.14
2008,DJ Hussey,3,78,130,10.0
2008,DJ Thornely,3,42,40,5.71
2008,DL Vettori,2,48,54,6.75
2008,DNT Zoysa,2,66,99,9.0
2008,DP Vijaykumar,4,152,199,7.86
2008,DR Smith,5,66,83,7.55
2008,DS Kulkarni,13,177,236,8.0
2008,DW Steyn,13,228,252,6.63
2008,GD McGrath,14,324,357,6.61
2008,Gagandeep Singh,3,84,141,10.07
2008,Harbhajan Singh,6,60,82,8.2
2008,I Sharma,7,253,329,7.8
2008,IK Pathan,20,318,350,6.6
2008,Iqbal Abdulla,1,18,22,7.33
2008,JA Morkel,20,288,399,8.31
2008,JDP Oram,6,96,149,9.31
2008,JH Kallis,4,206,311,9.06
2008,JR Hopes,7,168,276,9.86
2008,Joginder Sharma,9,148,239,9.69
2008,K Goel,0,12,25,12.5
2008,L Balaji,11,198,286,8.67
2008,LPC Silva,0,6,21,21.0
2008,LR Shukla,6,72,124,10.33
2008,M Kartik,5,88,127,8.66
2008,M Muralitharan,11,348,404,6.97
2008,M Ntini,8,210,242,6.91
2008,MA Khote,2,30,51,10.2
2008,MF Maharoof,19,216,249,6.92
2008,MM Patel,16,330,420,7.64
2008,MS Gony,18,360,443,7.38
2008,Mohammad Asif,9,192,296,9.25
2008,Mohammad Hafeez,2,60,68,6.8
2008,P Amarnath,7,132,236,10.73
2008,P Kumar,12,268,366,8.19
2008,PJ Sangwan,7,144,215,8.96
2008,PM Sarvesh Kumar,1,30,42,8.4
2008,PP Chawla,19,281,389,8.31
2008,PP Ojha,11,222,284,7.68
2008,Pankaj Singh,0,72,129,10.75
2008,R Bhatia,9,132,183,8.32
2008,R Vinay Kumar,7,138,182,7.91
2008,RA Jadeja,1,13,21,9.69
2008,RG Sharma,1,24,25,6.25
2008,RP Singh,17,308,442,8.61
2008,RR Powar,3,72,91,7.58
2008,RR Raje,6,98,137,8.39
2008,S Sreesanth,19,307,442,8.64
2008,S Vidyut,1,12,22,11.0
2008,SB Bangar,6,150,219,8.76
2008,SB Joshi,1,55,82,8.95
2008,SB Styris,4,162,199,7.37
2008,SC Ganguly,7,120,128,6.4
2008,SD Chitnis,2,36,60,10.0
2008,SK Raina,2,20,30,9.0
2008,SK Trivedi,15,288,399,8.31
2008,SK Warne,20,312,404,7.77
2008,SM Pollock,13,276,301,6.54
2008,SR Watson,20,325,383,7.07
2008,ST Jayasuriya,5,126,159,7.57
2008,Shahid Afridi,9,180,225,7.5
2008,Shoaib Akhtar,5,42,54,7.71
2008,Shoaib Malik,2,51,85,10.0
2008,Sohail Tanvir,24,247,266,6.46
2008,TM Dilshan,1,6,3,3.0
2008,Umar Gul,14,135,184,8.18
2008,V Kohli,2,46,61,7.96
2008,V Sehwag,3,66,133,12.09
2008,VRV Singh,15,288,420,8.75
2008,VS Yeligati,0,30,59,11.8
2008,VY Mahesh,17,253,370,8.77
2008,WA Mota,1,18,36,12.0
2008,WPUJC Vaas,6,102,145,8.53
2008,Y Venugopal Rao,3,84,137,9.79
2008,YK Pathan,10,169,230,8.17
2008,Yuvraj Singh,3,54,83,9.22
2008,Z Khan,15,252,357,8.5
2009,A Flintoff,2,66,105,9.55
2009,A Kumble,22,355,347,5.86
2009,A Mishra,14,253,294,6.97
2009,A Mithun,0,24,42,10.5
2009,A Nehra,22,306,346,6.78
2009,A Singh,9,105,95,5.43
2009,A Symonds,9,144,160,6.67
2009,AB Agarkar,8,186,284,9.16
2009,AB Dinda,6,144,193,8.04
2009,AB McDonald,0,18,22,7.33
2009,AD Mascarenhas,6,116,132,6.83
2009,AD Mathews,0,14,31,13.29
2009,AM Nayar,4,72,84,7.0
2009,AM Rahane,1,6,5,5.0
2009,AM Salvi,4,102,134,7.88
2009,AS Raut,0,24,36,9.0
2009,Anureet Singh,2,30,47,9.4
2009,B Akhil,4,66,80,7.27
2009,B Lee,6,120,111,5.55
2009,BAW Mendis,4,96,117,7.31
2009,BJ Hodge,7,120,161,8.05
2009,C Nanda,2,48,57,7.12
2009,CH Gayle,1,113,144,7.65
2009,CK Langeveldt,3,24,15,3.75
2009,D du Preez,4,42,56,8.0
2009,DJ Bravo,14,199,259,7.81
2009,DJ Hussey,1,24,34,8.5
2009,DL Vettori,10,139,181,7.81
2009,DP Nannes,20,297,372,7.52
