match_id,total_runs,total_wickets,season_year,venue,batting_team,bowling_team
1426268,549,10,2024,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Royal Challengers Bengaluru
1529278,529,6,2026,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings
1473439,528,12,2025,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals
1426280,523,8,2024,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings
1422126,523,8,2024,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Mumbai Indians
1426281,504,13,2024,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians
1473464,492,8,2025,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Sunrisers Hyderabad
1529284,492,9,2026,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad
1473442,475,10,2025,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Gujarat Titans
1473456,472,10,2025,"Eden Gardens, Kolkata",Lucknow Super Giants,Kolkata Knight Riders
419137,469,10,2010,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals
1529303,465,6,2026,"Eden Gardens, Kolkata",Kolkata Knight Riders,Gujarat Titans
1426273,465,17,2024,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Delhi Capitals
1527693,462,10,2026,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians
1136604,459,14,2018,Holkar Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab
1359512,458,15,2023,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Lucknow Super Giants,Punjab Kings
1529279,457,11,2026,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad
1529290,457,9,2026,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
1527684,457,13,2026,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings
1473507,457,7,2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Royal Challengers Bengaluru
1529310,455,8,2026,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bengaluru
1529272,454,12,2026,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,Lucknow Super Giants
1082641,453,9,2017,Wankhede Stadium,Kings XI Punjab,Mumbai Indians
1529286,451,9,2026,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals
1529283,450,8,2026,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,Rajasthan Royals
1216527,449,8,2020,Sharjah Cricket Stadium,Kings XI Punjab,Rajasthan Royals
1426269,447,14,2024,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals
335983,447,9,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab
1473505,446,13,2025,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Kolkata Knight Riders
1529307,445,8,2026,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,Rajasthan Royals
1359498,444,14,2023,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Royal Challengers Bangalore
1426278,444,12,2024,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans
1527675,444,8,2026,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians
1426274,443,16,2024,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru
1527690,442,10,2026,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Sunrisers Hyderabad,Punjab Kings
