season_year,total_runs,total_wickets,total_balls,matches,avg_runs_per_match
2008,17937,690,12950,58,309.3
2009,16320,697,13085,57,286.3
2010,18864,722,13929,60,314.4
2011,21154,813,16425,73,289.8
2012,22453,858,17208,74,303.4
2013,22541,910,17613,76,296.6
2014,18909,672,13833,60,315.2
2015,18332,687,13141,59,310.7
2016,18862,666,13618,60,314.4
2017,18769,709,13390,59,318.1
2018,19901,722,13808,60,331.7
2019,19400,681,13837,60,323.3
2020,19352,668,14007,60,322.5
2021,18622,717,13876,60,310.4
2022,24395,912,17138,74,329.7
2023,25688,916,17137,74,347.1
2024,25971,883,16299,71,365.8
2025,26503,871,16507,74,358.1
2026,27450,880,16664,74,370.9
