batting_team,total_runs,total_balls
Mumbai Indians,47598,33639
Kolkata Knight Riders,43606,31170
Chennai Super Kings,43591,30893
Rajasthan Royals,40391,28684
Royal Challengers Bangalore,37651,27193
Sunrisers Hyderabad,34603,24275
Kings XI Punjab,30017,21882
Delhi Daredevils,24285,18150
Delhi Capitals,19925,13754
Punjab Kings,15509,9973
Gujarat Titans,13743,8959
Lucknow Super Giants,12753,8435
Deccan Chargers,11463,8752
Royal Challengers Bengaluru,8640,5124
Pune Warriors,6358,5275
Gujarat Lions,4856,3433
Rising Pune Supergiant,2470,1843
Rising Pune Supergiants,2063,1521
Kochi Tuskers Kerala,1901,1510
