team,wins,matches_played,losses,win_pct
Mumbai Indians,155,291.0,136.0,53.3
Chennai Super Kings,148,265.0,117.0,55.8
Kolkata Knight Riders,140,278.0,138.0,50.4
Rajasthan Royals,123,250.0,127.0,49.2
Royal Challengers Bangalore,114,240.0,126.0,47.5
Sunrisers Hyderabad,102,210.0,108.0,48.6
Kings XI Punjab,85,190.0,105.0,44.7
Delhi Daredevils,67,161.0,94.0,41.6
Delhi Capitals,58,119.0,61.0,48.7
Gujarat Titans,47,77.0,30.0,61.0
Punjab Kings,41,87.0,46.0,47.1
Lucknow Super Giants,34,72.0,38.0,47.2
Deccan Chargers,29,75.0,46.0,38.7
Royal Challengers Bengaluru,29,46.0,17.0,63.0
Unknown,16,,,
Gujarat Lions,13,30.0,17.0,43.3
Pune Warriors,12,45.0,33.0,26.7
Rising Pune Supergiant,10,16.0,6.0,62.5
Kochi Tuskers Kerala,6,14.0,8.0,42.9
Rising Pune Supergiants,5,14.0,9.0,35.7
