venue,matches,total_runs,total_wickets,avg_runs_per_match
Eden Gardens,77,23658,878,307.2
Wankhede Stadium,73,23390,892,320.4
M Chinnaswamy Stadium,65,20237,741,311.3
Feroz Shah Kotla,60,18421,697,307.0
"Wankhede Stadium, Mumbai",59,20853,696,353.4
"Rajiv Gandhi International Stadium, Uppal",49,14853,565,303.1
"MA Chidambaram Stadium, Chepauk",48,15258,563,317.9
Sawai Mansingh Stadium,47,14264,518,303.5
Dubai International Cricket Stadium,46,14391,538,312.8
"Narendra Modi Stadium, Ahmedabad",41,14428,517,351.9
"MA Chidambaram Stadium, Chepauk, Chennai",41,13333,517,325.2
"Punjab Cricket Association Stadium, Mohali",35,10987,411,313.9
"Eden Gardens, Kolkata",30,10783,352,359.4
"Arun Jaitley Stadium, Delhi",30,11230,347,374.3
Sheikh Zayed Stadium,29,8830,325,304.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",29,9730,345,335.5
Sharjah Cricket Stadium,28,8583,322,306.5
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",26,9605,297,369.4
"M Chinnaswamy Stadium, Bengaluru",24,8930,300,372.1
Maharashtra Cricket Association Stadium,22,7007,259,318.5
"Sawai Mansingh Stadium, Jaipur",21,7829,214,372.8
"Dr DY Patil Sports Academy, Mumbai",20,6573,254,328.6
"Brabourne Stadium, Mumbai",17,5824,211,342.6
Dr DY Patil Sports Academy,17,4810,216,282.9
Subrata Roy Sahara Stadium,16,4528,183,283.0
M.Chinnaswamy Stadium,15,5127,179,341.8
Rajiv Gandhi International Stadium,15,4631,190,308.7
Kingsmead,15,4353,201,290.2
Arun Jaitley Stadium,14,4526,169,323.3
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,3746,163,288.2
"Maharashtra Cricket Association Stadium, Pune",13,4108,175,316.0
SuperSport Park,12,3653,133,304.4
"Sardar Patel Stadium, Motera",12,3746,141,312.2
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,3545,115,322.3
Saurashtra Cricket Association Stadium,10,3316,107,331.6
Punjab Cricket Association IS Bindra Stadium,10,3476,104,347.6
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,3184,144,318.4
Brabourne Stadium,10,3481,120,348.1
"Himachal Pradesh Cricket Association Stadium, Dharamsala",10,3740,120,374.0
Himachal Pradesh Cricket Association Stadium,9,2897,104,321.9
Holkar Cricket Stadium,9,2872,92,319.1
MA Chidambaram Stadium,9,2563,100,284.8
"Barsapara Cricket Stadium, Guwahati",8,2612,101,326.5
New Wanderers Stadium,8,2292,92,286.5
"Zayed Cricket Stadium, Abu Dhabi",8,2475,93,309.4
Newlands,7,1764,92,252.0
St George's Park,7,2033,77,290.4
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",7,2981,81,425.9
JSCA International Stadium Complex,7,2056,81,293.7
Barabati Stadium,7,2278,80,325.4
Shaheed Veer Narayan Singh International Stadium,6,1741,60,290.2
Nehru Stadium,5,1363,62,272.6
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,1856,60,371.2
Green Park,4,1298,49,324.5
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,1549,58,387.2
De Beers Diamond Oval,3,897,39,299.0
Buffalo Park,3,799,38,266.3
"Vidarbha Cricket Association Stadium, Jamtha",3,882,48,294.0
OUTsurance Oval,2,529,25,264.5
"Shaheed Veer Narayan Singh International Stadium, Raipur",2,719,23,359.5
